ID|Document|Paragraph_Article|Domain|Reference|Main_text|cl100k_base_tokens
1994|ECB Guide to internal models, 2024|Paragraph 100|Model application, use, review and changes|General topics > 6 Model use > 6.3 Risk management, credit approval and decision-making process|"LGD/expected loss best estimate (EL BE ) values, as well as their setaside provisions. 
(i) The credit risk adjustments methodology for both performing exposures and exposures in default (or share of exposures in default) can be aligned to the calculation of own funds requirements, although some adjustments might be needed to comply with accounting standards (for example, International Financial Reporting Standards 9 (IFRS 9)). The institution should justify and document any significant deviations to ensure that the rationale for discrepancies is sound and understandable. 
(e) Allocation or delegation of competence for the approval process 
(i) Along with the materiality of credit lines, the delegation of competences for credit approval can take risk estimates into account through one or several IRB parameters or through EL (for example, an increase of some EL-driven measures above a pre-defined threshold should typically trigger an escalation process). 
(ii) The allocation and delegation process can include the criterion of proportionality, taking into account portfolio risk and facility types."|221
1995|ECB Guide to internal models, 2024|Paragraph 101|Model application, use, review and changes|General topics > 6 Model use > 6.4 Internal capital assessment and allocation|101. Internal ratings and the default and loss estimates produced by the rating systems play an important role in the assessment, calculation and allocation of institutions' internal capital 91 under the framework of the internal capital adequacy assessment process (RWEAs can also be used as an additional driver). This role should be reflected within the institutions' internal policies and procedures on internal capital assessment and allocation.|95
1996|ECB Guide to internal models, 2024|Paragraph 102|Model application, use, review and changes|General topics > 6 Model use > 6.5 Corporate governance functions|102. Internal ratings and the default and loss estimates produced by the rating systems play an important role in the institution's corporate governance functions. 92 To ensure that they are able to play this essential role, institutions should use internal ratings and default and loss estimates, in particular in their management reporting and portfolio credit risk monitoring procedures. This role should be reflected within the institutions' internal policies.|93
1997|ECB Guide to internal models, 2024|Paragraph 103|Model application, use, review and changes|General topics > 6 Model use > 6.5 Corporate governance functions|"103. The ECB considers that institutions comply with the requirement to use the internal ratings and default and loss estimates in their corporate governance functions if they establish the following: 
(a) Institutions' management reporting$^{93}$ 
(i) Institutions have a structured reporting system on risk measured by their IRB risk parameters. This reporting framework contains information about frequency, recipients and contents (if possible, broken down by segment, portfolio and product). 
(ii) The reports are accompanied by comments and explanations on the numbers provided as well as by qualitative assessments, to enable recipients to fully understand the potential underlying risks. 
(i) In its ongoing model monitoring function, the CRCU performs descriptive analyses of portfolio riskiness (distribution of exposures among rating classes, average risk estimates and their realisations, ELs). These analyses are progressively refined to include the analytical insights derived from the information on ratings.$^{94}$ 
(ii) Reporting to senior management provides a concise but complete overview of the relevant variables 95 so that the evolution of credit risk can be monitored at portfolio level."|227
1998|ECB Guide to internal models, 2024|Paragraph 102|Model application, use, review and changes|General topics > 6 Model use > 6.5 Corporate governance functions|102. Internal ratings and the default and loss estimates produced by the rating systems play an important role in the institution's corporate governance functions. 92 To ensure that they are able to play this essential role, institutions should use internal ratings and default and loss estimates, in particular in their management reporting and portfolio credit risk monitoring procedures. This role should be reflected within the institutions' internal policies.|93
1999|ECB Guide to internal models, 2024|Paragraph 103|Model application, use, review and changes|General topics > 6 Model use > 6.5 Corporate governance functions|"103. The ECB considers that institutions comply with the requirement to use the internal ratings and default and loss estimates in their corporate governance functions if they establish the following: 
(a) Institutions' management reporting$^{93}$ 
(i) Institutions have a structured reporting system on risk measured by their IRB risk parameters. This reporting framework contains information about frequency, recipients and contents (if possible, broken down by segment, portfolio and product). 
(ii) The reports are accompanied by comments and explanations on the numbers provided as well as by qualitative assessments, to enable recipients to fully understand the potential underlying risks. 
(i) In its ongoing model monitoring function, the CRCU performs descriptive analyses of portfolio riskiness (distribution of exposures among rating classes, average risk estimates and their realisations, ELs). These analyses are progressively refined to include the analytical insights derived from the information on ratings.$^{94}$ 
(ii) Reporting to senior management provides a concise but complete overview of the relevant variables 95 so that the evolution of credit risk can be monitored at portfolio level."|227
2000|ECB Guide to internal models, 2024|Paragraph 104|Model application, use, review and changes|General topics > 6 Model use > 6.6 Assignment of exposures to grades or pools > 6.6.1 Non-rated exposures and outdated ratings|"104. Article 144(1)(h) of the CRR requires institutions to assign and continue with assigning each exposure in the range of application of a rating system to a rating grade or pool of this rating system. Furthermore, and in accordance with Article 173(1)(b) of the CRR, institutions must review those assignments at least annually. Nevertheless, the ECB observes that institutions' portfolios occasionally show a certain proportion of non-rated exposures and/or outdated ratings. The ECB considers that this should be properly investigated, justified, documented and monitored. 
(a) Root causes 
(i) Non-rated exposures are temporary exceptions to the ""ordinary"" rating assignment process and should therefore be investigated, documented and justified in detail. 
(ii) Outdated ratings include both ratings that have not been updated within the 12-month period following the last rating date 96 and ratings based on outdated information.$^{97}$ 
(b) Materiality 
(i) Non-rated exposures and outdated ratings present a risk for institutions of not being compliant with the CRR requirements related to rating systems. To mitigate that risk, institutions should implement specific policies and procedures to identify these non-rated exposures and outdated ratings and monitor their materiality (in terms of number, EAD and RWEAs). A formal check should be carried out on these issues, at least annually, and reported to senior management. These items should also be reviewed periodically by the internal validation function."|321
2001|ECB Guide to internal models, 2024|Paragraph 105|Model application, use, review and changes|General topics > 6 Model use > 6.6 Assignment of exposures to grades or pools > 6.6.1 Non-rated exposures and outdated ratings|"105. With regard to ratings not updated within the 12-month period following the most recent rating date, a transition period during which the current rating is carried forward can be considered provided all the following conditions are met: 
(a) the transition period begins 12 months after the date the current rating was assigned or when new material information on the obligor or exposure became available (if earlier); 
(b) the transition period does not exceed three months; 
(c) the transition period applies: 
(i) to wholesale exposures whose rating assignment relies on external information (e.g. financial statements), which may be available/published not exactly 12 months apart; or 
(ii) in the presence of exceptional internal impediments that affect the timely review of the rating assignment; 
(d) adequate monitoring and reporting policies, together with escalation procedures, are implemented to ensure a rapid return to compliance; restrictions to credit granting or to delegation of powers for credit approval are also envisaged for those counterparties whose rating falls within the transition period; 
(e) conservative treatments apply after three months, as detailed in paragraph 106."|255
2002|ECB Guide to internal models, 2024|Paragraph 106|Model application, use, review and changes|General topics > 6 Model use > 6.6 Assignment of exposures to grades or pools > 6.6.1 Non-rated exposures and outdated ratings|"106. All exposures within the range of application 98 of an IRB rating system must eventually be rated 99 and are not expected to be treated under the SA, unless they have received the permission of the competent authority to be permanently treated under that approach in accordance with Article 150 of the CRR. 100 Nonrated exposures and outdated ratings present a risk of potential underestimation of own funds requirements. To mitigate that risk, institutions should adhere to the following guidance: 
(a) Institutions should have internal policies in place establishing a process to monitor and manage non-rated exposures and outdated ratings prudentially. In particular, they should be able to prove that their procedures allow for a conservative measure of risk, such as timedependent downgrading for outdated ratings and the application of the worst-performing rating grade for unrated exposures.$^{101}$ 
(b) The calibration of the prudential treatment should be validated at least annually (evidence of conservativeness)."|229
2003|ECB Guide to internal models, 2024|Paragraph 107|Model application, use, review and changes|General topics > 6 Model use > 6.6 Assignment of exposures to grades or pools > 6.6.2 Analysis of overrides|107. For grade and pool assignments institutions must document the situations in which human judgement may override the inputs or outputs of the rating system and the personnel responsible for approving these overrides.|65
2004|ECB Guide to internal models, 2024|Paragraph 108|Model application, use, review and changes|General topics > 6 Model use > 6.6 Assignment of exposures to grades or pools > 6.6.2 Analysis of overrides|108. For the purposes of this subsection, instances of overruling of internal policies and/or procedures are not considered as overrides. If institutions overrule internal policies and/or procedures, they should, as in the case of overrides, document these instances and report them to the relevant functions (e.g. CRCU, internal validation function). The functions concerned should assess the performance of the exposures affected by the overruling and its potential impact on the rating systems.|122
2005|ECB Guide to internal models, 2024|Paragraph 109|Model application, use, review and changes|General topics > 6 Model use > 6.6 Assignment of exposures to grades or pools > 6.6.2 Analysis of overrides|109. As a general principle, the rating of retail exposures is less likely to be affected by an override process, given the high degree of standardisation of information processing - including in qualitative terms - and the small margins of discretion in the evaluation.|79
2006|ECB Guide to internal models, 2024|Paragraph 110|Model application, use, review and changes|General topics > 6 Model use > 6.6 Assignment of exposures to grades or pools > 6.6.2 Analysis of overrides|"110. ""For grade and pool assignments institutions shall document those situations in which human judgement may override the inputs or outputs of the assignment process."" 102 Accordingly, institutions should have documented policies that incorporate the following principles: 
(a) the policies include clear and exhaustive justifications for triggering the override process on the basis of pertinent and significant information for an accurate assessment of the counterparty's creditworthiness; 
(b) the policies define the maximum extent of overrides (in terms of, for example, maximum number of notches up 103 and maximum share of overridden exposures), also considering model/portfolio specificities; institutions should aim to be more restrictive with positive overrides than with negative ones."|166
2007|ECB Guide to internal models, 2024|Paragraph 111|Model application, use, review and changes|General topics > 6 Model use > 6.6 Assignment of exposures to grades or pools > 6.6.2 Analysis of overrides|111. Institutions must document each override. 104 To this end, they should retain the quantitative and qualitative information concerning each phase of the rating process. In particular, all decisions taken throughout the process - including interim ratings - should be recorded, as should the reasons for any override. The information should be proportionate to the severity and extent of the override.|101
2008|ECB Guide to internal models, 2024|Paragraph 112|Model application, use, review and changes|General topics > 6 Model use > 6.6 Assignment of exposures to grades or pools > 6.6.2 Analysis of overrides|"112. ""Institutions shall analyse the performance of those exposures whose assignments have been overridden."" 105 To comply with this requirement, the institutions should carry out the following procedures: 
(a) Performance analysis of the rating systems, to assess whether the judgemental adjustments improve their discriminatory power. The analysis may be extended to all of the underlying components (modules) of the rating system. It is deemed particularly useful to measure the difference in terms of performance and impact of the ""pre-override"" and ""post-override"" stages. 
(b) Other analyses, including the assessment of the distribution of overrides by override root cause, i.e. if there is a situation that systematically triggers an adjustment and that could justify an adjustment to the model (for example the inclusion of a specific risk driver)."|188
2009|ECB Guide to internal models, 2024|Paragraph 113|Model application, use, review and changes|General topics > 6 Model use > 6.6 Assignment of exposures to grades or pools > 6.6.2 Analysis of overrides|113. To mitigate the risks identified through the aforementioned analysis (paragraph 112), institutions should identify specific criteria for assessing whether or not the number of and justifications for overrides indicate significant weaknesses in the rating system and whether this is a reason to take ad hoc actions (e.g. a model change). In general, situations where there are too many overrides could be a strong indicator of weaknesses in the model (i.e. systematic and material adjustments can be the consequence of a misspecification of the model).|131
2010|ECB Guide to internal models, 2024|Paragraph 114|Model application, use, review and changes|General topics > 7 Management of changes to the IRB approach > 7.1 Relevant regulatory references|114. Changes to a rating system's range of application or to a rating system itself are subject to approval by the competent authorities if assessed as material, or to ex ante or ex post notification if non-material.|64
2011|ECB Guide to internal models, 2024|Paragraph 115|Model application, use, review and changes|General topics > 7 Management of changes to the IRB approach > 7.1 Relevant regulatory references|"115. Commission Delegated Regulation (EU) No 529/2014 requires institutions to assess and classify the materiality of changes to rating systems. To comply with these requirements in a comprehensive and consistent way, institutions should establish a policy related to changes to the IRB approach (""change policy""). In line with the above, this policy should include, in particular, detailed criteria to ensure that the classification of changes is consistent and that any arbitrage in that regard is avoided. Institutions are encouraged to share their policy with the competent authority and to inform the latter about any implemented modifications to it, in order for both sides to have a common understanding of the classification process."|156
2012|ECB Guide to internal models, 2024|Paragraph 116|Model application, use, review and changes|General topics > 7 Management of changes to the IRB approach > 7.2 Content of the change policy|"116. The change policy should include provisions relating to the operationalisation of the requirements of Commission Delegated Regulation (EU) No 529/2014 with respect to the materiality assessment, classification, impact assessment, notification and documentation of changes and extensions. 106 To that end, it should include, in particular, the following:$^{107}$ 
(a) Responsibilities, reporting lines and procedures for the internal approval of changes, taking into account the institution's organisational characteristics. This policy should define at least the unit(s) responsible for the assessment and classification of changes or extensions, as well as the function/committee responsible for confirming and countersigning the classification. 
(b) Definitions, methods and, where applicable, metrics and significance levels for the impact assessment, threshold calculation and classification of changes; in particular, the quantitative/qualitative criteria referred to in Commission Delegated Regulation (EU) No 529/2014. In addition, as required by Annex 1, Part 2, Section 1 of this Regulation and to ensure consistency, the following should be observed: 
(i) the institution should specify metrics and significance levels that define the significance/materiality of changes in the distribution across rating grades produced by changes to the rating methodology (paragraph 2(d)(ii) of Annex 1, Part 2, Section 1); these metrics and significance levels should be complementary to those of Article 4(2) and (3) and Article 5(2) of the same Regulation; 
(ii) the institution should specify metrics and significance levels that define the significance/materiality of rating migrations produced by changes in the rating system's assumptions on the impact of economic conditions (paragraph 2(c) of Annex 1, Part 2, Section 1); 
(iii) the institution should specify metrics and significance levels that define the significance/materiality of changes in the rank ordering of clients/exposures (paragraph 2(d)(i) of Annex 1, Part 2, Section 1); 
(iv) in its change policy, the institution should define which changes constitute a change in the fundamental methodology for estimating PDs, LGDs (including best estimate of EL) and CCFs and are considered as material in the sense of paragraph 2(f) of Annex 1, Part 2, Section 1 (as opposed to the changes referred to in paragraph 2(h) of Annex 1, Part 2, Section 2); 
(v) the institution's change policy should include a definition of changes in the validation methodology and/or validation processes which lead to changes in its judgement of the accuracy and consistency of the estimation of the relevant risk parameters, the rating processes or the performance of the rating systems (paragraph 4 of Annex 1, Part 2, Section 1). 
(c) Procedures to identify and monitor changes, and to notify and apply to the competent authorities for permission to make such changes. In particular, institutions should establish an end-to-end process from identification to notification/application and describe how they perform the activities at each step. 
(d) Procedures for the implementation of changes, including their documentation; in particular, the re-rating process should be defined (if no other document is already in place)."|683
2013|ECB Guide to internal models, 2024|Paragraph 117|Model application, use, review and changes|General topics > 7 Management of changes to the IRB approach > 7.3 Notification|117. To facilitate the process for submitting the documentation package defined under Article 8 of Commission Delegated Regulation (EU) No 529/2014, on the ECB Banking Supervision website the ECB has made available to institutions standardised templates for notifying ex ante and ex post non-material changes/extensions and for submitting applications for material model changes/extensions. Institutions are invited to use these templates to facilitate the process and to ensure consistency and completeness.$^{108}$|111
2014|ECB Guide to internal models, 2024|Paragraph 118|Model application, use, review and changes|General topics > 7 Management of changes to the IRB approach > 7.4 Classification|"118. For the reasons mentioned in paragraph 115, institutions should have processes in place which specify, in detail, that the classification of a change/extension is adequate and consistent with the classification of other changes/extensions. The institution should ensure that the classification process is not subject to any arbitrage. In line with Article 3(3) of Commission Delegated Regulation (EU) No 529/2014, ""one material extension or change shall not be split into several changes or extensions of lower materiality"". Similarly, an extension or change that requires notification before its implementation (ex ante) should not be split into several changes or extensions to produce one that is notified after implementation (ex post). Nor should several unrelated changes/extensions be combined to produce one change of lower materiality (e.g. two different model changes that affect RWEAs in opposite ways)."|194
2015|ECB Guide to internal models, 2024|Paragraph 119|Model application, use, review and changes|General topics > 7 Management of changes to the IRB approach > 7.4 Classification|"119. In accordance with Article 3(4) of Commission Delegated Regulation (EU) No 529/2014, ""in case of doubt institutions shall assign extensions and changes to the category of the highest potential materiality""."|68
2016|ECB Guide to internal models, 2024|Paragraph 120|Model application, use, review and changes|General topics > 7 Management of changes to the IRB approach > 7.4 Classification|120. To ensure the accuracy of the impact assessment and the correctness and consistency of the resulting classification, the institution should establish a foureye principle. This means that the assessment and classification should be confirmed by a unit independent of the one responsible for the assessment and classification of the change/extension.|79
2017|ECB Guide to internal models, 2024|Paragraph 121|Model application, use, review and changes|General topics > 7 Management of changes to the IRB approach > 7.5 Impact assessment|121. The impact assessment process must fulfil the requirements of Commission Delegated Regulation (EU) No 529/2014. It should consist of a quantitative and a qualitative assessment.|58
2018|ECB Guide to internal models, 2024|Paragraph 122|Model application, use, review and changes|General topics > 7 Management of changes to the IRB approach > 7.5 Impact assessment|122. The quantitative assessment focuses on the impact of the change or extension on RWEAs. Before and after the change or extension the institution should calculate the difference in these amounts for credit and dilution risk associated with the range of application of the internal rating system.|74
2019|ECB Guide to internal models, 2024|Paragraph 123|Model application, use, review and changes|General topics > 7 Management of changes to the IRB approach > 7.5 Impact assessment|"123. This quantitative impact assessment is based on the specifications of Article 4(2) and (3) and Article 5(2) of Commission Delegated Regulation (EU) No 529/2014. The institution should use transparent definitions and internal procedures. 
(a) The institution should document the relevant reference date on which the calculations are based. In accordance with Article 3(2)(a) of Commission Delegated Regulation (EU) No 529/2014, the institution should use the most recent data available. In the case of material change or ex ante notification the time between the reference date and the date of notification should not exceed nine months.$^{109}$ 
(b) The institution should give a precise definition of the range of application of the rating system applied in the calculations as referred to in Article 4(1)(c) and Article 5(1)(a)(iii) of Commission Delegated Regulation (EU) No 529/2014. It should ensure that the change to the IRB approach is directly related to exposures within the range of application of the rating system. 
(c) The institution should generally perform a precise impact assessment$^{110}$ (all exposures of the relevant range of application) when the rating system is automatic and does not require any human judgement of the qualitative variables (e.g. behavioural scoring). 
(d) If the institution applies Article 3(2)(b) of Commission Delegated Regulation (EU) No 529/2014 and performs an impact assessment based on the re-rating of a representative sample of the population (only possible for rating systems that require qualitative assessment to define the final rating/score), this sample and its relation to the population should be described in detail (number of observations/exposures, minimum/maximum exposure amount, mean/median exposure amou nt, fir st/third quartile). The representativeness of the sample should be documented. 
(e) If the institution applies Article 3(2)(b) of Commission Delegated Regulation (EU) No 529/2014 and performs an impact assessment based on other reliable inference methodologies, these methods should be described in detail and their reliability corroborated by qualitative and quantitative means."|477
2020|ECB Guide to internal models, 2024|Paragraph 124|Model application, use, review and changes|General topics > 7 Management of changes to the IRB approach > 7.5 Impact assessment|124. The qualitative assessment is based on the specifications of Article 4(1)(a) and (b) and Article 5(1)(a) points (i) and (ii) of Commission Delegated Regulation (EU) No 529/2014, which refer to the Annex I of that same Regulation. The institution should thoroughly examine each of these criteria. In addition, as reported in the change policy and to ensure consistency, institutions should examine the metrics and significance levels for the impact assessment and threshold calculation (see also Section 7.2, content of the change policy).|142
2021|ECB Guide to internal models, 2024|Paragraph 125|Model application, use, review and changes|General topics > 7 Management of changes to the IRB approach > 7.5 Impact assessment|125. If a criterion specified in Annex 1 of Commission Delegated Regulation (EU) No 529/2014 may be applicable a priori (and within reason) to a change or an extension and the institution's assessment concludes that this particular criterion is not fulfilled, the institution should document this conclusion in the notification.|87
2022|ECB Guide to internal models, 2024|Paragraph 126|Model application, use, review and changes|General topics > 7 Management of changes to the IRB approach > 7.5 Impact assessment > 7.5.1 User acceptance test|126. To avoid the risk of having unexpected consequences in the use of the changed rating system (e.g. altered role of the changed rating system in the risk management of credit exposures), institutions should assess and document the impact of a material change/extension on the use of the parameters and ensure that the related internal policies and procedures for the areas described in Section 6.3 of this chapter remain relevant.|112
2023|ECB Guide to internal models, 2024|Paragraph 127|Model application, use, review and changes|General topics > 7 Management of changes to the IRB approach > 7.5 Impact assessment > 7.5.1 User acceptance test|127. In the context of rating systems which contain qualitative inputs and/or any expert judgement component, the exposures of the representative sample referred to in point (d) of paragraph 123 should be fully re-rated under the amended rating system (including the material change or extension); adherence to the entire rating assignment process should be ensured. The feedback received from users on the application of the amended rating system and on the rating results is expected to be analysed and documented.|122
2024|ECB Guide to internal models, 2024|Paragraph 128|Model application, use, review and changes|General topics > 7 Management of changes to the IRB approach > 7.5 Impact assessment > 7.5.1 User acceptance test|128. Changes or extensions that are classified as non-material do not generally require the preparation of a use test sample, unless there is evidence of a potential impact on the use of the parameters.|69
2025|ECB Guide to internal models, 2024|Paragraph 129|Model application, use, review and changes|General topics > 7 Management of changes to the IRB approach > 7.6 Re-rating process|129. Where competent authorities have provided their permission in relation to a material extension or change, Article 3(5) of Commission Delegated Regulation (EU) No 529/2014 requires institutions to calculate their own funds requirements on the basis of this approved extension or change from the date specified in the new permission. The ECB understands that this process (i.e. the re-rating process) should be covered in the institution's change policy.|112
2026|ECB Guide to internal models, 2024|Paragraph 130|Model application, use, review and changes|General topics > 7 Management of changes to the IRB approach > 7.6 Re-rating process|130. Re-rating refers to the computation of a rating using the changed or extended rating system and the assignment of this new rating to an obligor previously rated using the rating system as it was before the change or extension.|66
2027|ECB Guide to internal models, 2024|Paragraph 131|Model application, use, review and changes|General topics > 7 Management of changes to the IRB approach > 7.6 Re-rating process|131. In the context of changes or extensions that are classified as material, the change policy should ensure that the re-rating process is immediate. All former ratings and estimates should therefore be replaced by ratings and estimates calculated using the changed or extended model from the date specified in the approval decision - if the conceptual design allows this. This applies, for example, to rating systems that are exclusively based on behavioural scoring or in the case of recalibration not affecting the rating process.|115
2028|ECB Guide to internal models, 2024|Paragraph 132|Model application, use, review and changes|General topics > 7 Management of changes to the IRB approach > 7.6 Re-rating process|"132. If an immediate re-rating is not possible (for example if the rating assignment requires new manual input and human judgement), and only for non-retail rating systems, the policy should ensure the following: 
(a) The obligors/exposures/facilities are rated using the amended rating system within the time frame of the yearly re-rating process, i.e. within a maximum of 12 months. 
(b) To mitigate the risk of underestimation of own funds requirements, in the event that a material change would lead to a material increase in the RWEA (i.e. more than 10% on the range of application of the rating system subject to change), the institution should apply the RWEA impact, simulated on the basis of the representative sample. The impact thus produced is the positive difference between the simulated RWEA after the material change and the RWEA before the material change approved by the competent authority. This should be done at the first Common Reporting date after the date of implementation."|228
2029|ECB Guide to internal models, 2024|Paragraph 132|Model application, use, review and changes|General topics > 7 Management of changes to the IRB approach > 7.6 Re-rating process|"For the purpose of point (b) above, the ECB would consider the following approach as the most appropriate: 
· apply the simulated RWEA impact until all exposures within the range of application are rated using the changed model; 
· remove the simulated RWEA impact linearly, i.e. 25% every quarter."|88
2030|ECB Guide to internal models, 2024|Paragraph 133|Model application, use, review and changes|General topics > 7 Management of changes to the IRB approach > 7.6 Re-rating process|133. The re-rating process for changes/extensions that are classified as non-material may take up to one year from the date of implementation.|49
2031|ECB Guide to internal models, 2024|Paragraph 134|Other|General topics > 8 Third-party involvement > 8.2 Preliminary principles|"134. Outsourcing, as defined in the EBA Guidelines on outsourcing, refers to an authorised entity's use of a third party (the ""service provider"") to perform activities that would normally be undertaken by the authorised entity itself, now or in the future. For the purposes of this section, outsourcing in the context of IRB models refers to the involvement of third parties in any IRB-related tasks, including data provisioning and the use of external data (e.g. development data, calibration data, external ratings as input for internal models, pooled data). The specific case of delegation of IRB-related tasks to different legal entities within the same group (internal outsourcing) is also considered as outsourcing and hence is subject to the expectations set out below.$^{112}$"|169
2032|ECB Guide to internal models, 2024|Paragraph 135|Other|General topics > 8 Third-party involvement > 8.2 Preliminary principles > 8.2.1 Contract requirements|135. All outsourcing arrangements for IRB-related tasks should be subject to a formal and comprehensive contract or similar documented agreement in accordance with the proportionality principle (in the case of internal outsourcing between different entities within the same group, provisions such as service level agreements (SLAs) or other written agreements may be considered as sufficient, subject to the criticality or importance of the tasks outsourced). Outsourcing institutions should take into account the aspects set out in Section|117
2033|ECB Guide to internal models, 2024|Paragraph 135|Other|General topics > 8 Third-party involvement > 8.2 Preliminary principles > 8.2.1 Contract requirements|"13 of the EBA Guidelines on outsourcing when preparing written outsourcing contracts. To avoid operational risks which could hinder the performance and operations of the rating systems, outsourcing agreements should provide for the following: 
(a) The agreed terms do not impede the institution in performing its validation activities. 
(b) The agreed terms do not impede the necessary communication between the institution and the competent authorities in performing their supervisory duties. In this sense they should include: 
(i) full and timely access for competent authorities to all information required (e.g. all of the models' development details, where an externally developed rating system is used); 
(ii) a requirement for the third party to provide support to the institution in the event of a request for information by the competent authority. 
(c) The agreed terms should ensure that the provider gives the institution access to relevant information in order to maintain sufficient in-house knowledge. The delivery of training and workshops is considered best practice."|217
2034|ECB Guide to internal models, 2024|Paragraph 136|Other|General topics > 8 Third-party involvement > 8.3 Third-party involvement in internal functions and tasks > 8.3.1 Internal validation and internal audit tasks|136. Although institutions are allowed to delegate some of their tasks, activities and functions to a third party, this should be done in accordance with all existing legal requirements and after due consideration of this guide, in particular the principles relating to internal validation and the internal audit included in this general topics chapter. If an institution plans to delegate certain internal validation or internal audit tasks to a third party that would perform them outside the EU, it should discuss this plan with the competent authority in advance.|131
2035|ECB Guide to internal models, 2024|Paragraph 137|Other|General topics > 8 Third-party involvement > 8.3 Third-party involvement in internal functions and tasks > 8.3.1 Internal validation and internal audit tasks|137. The ECB considers that responsibility for delegated tasks should be retained by the outsourcing institution. 113 This understanding is also expressed in paragraph 35 of the EBA Guidelines on outsourcing.|72
2036|ECB Guide to internal models, 2024|Paragraph 138|Other|General topics > 8 Third-party involvement > 8.3 Third-party involvement in internal functions and tasks > 8.3.1 Internal validation and internal audit tasks|"138. To ensure consistency in the content, quality and governance of the activities performed internally and externally, the ECB understands that the following practices in particular should be observed: 
(a) Reports should carry the logo and name of the institution and of the third party performing the tasks. 
(b) Reports should be approved by the senior management and the members of the management body (or the designated committee thereof) responsible for the function within the institution. 
(c) The institution should assess the quality/performance of the outsourced tasks. 
(d) The independence requirements set out in Section 1.6 for internal validation and Section 1.7 for internal audit of this chapter also apply to external parties. Institutions must ensure that model reviews are independent and free from any undue influence, also when performed by third parties. In this respect institutions should establish independence guidelines/policies with regard to third parties and those participating in internal model tasks equivalent to the internal guidelines and rules set internally. In particular, third parties and individuals that have performed or are currently performing model development or CRCU tasks should not perform model validation tasks within the same institution until a prudent cool-off period has elapsed.$^{114}$,$^{115}$"|275
2037|ECB Guide to internal models, 2024|Paragraph 139|Other|General topics > 8 Third-party involvement > 8.3 Third-party involvement in internal functions and tasks > 8.3.2 Use of external credit risk parameters/ratings|"139. Although institutions are allowed to use external credit risk parameters as a component of their rating systems, the following practices should be observed: 
(a) Internal ratings and estimates methodology should also take internal information into account. 116 When institutions use external ratings or parameters, they should ensure that these are incorporated in their estimation process in an appropriate manner and adjusted in accordance with the specificities of the institution.$^{117}$ 
(b) Analogously to the requirements for data pooled across institutions, 118 the institution should demonstrate good knowledge of the work performed by the third party in producing the estimates. In particular, the institution should demonstrate a good understanding of the data cleansing process, assumptions used, methodological choices and resulting limitations. The institution should also monitor the performance of the rating systems involved and be able to audit them, and have clear triggers for requesting a model review."|210
2038|ECB Guide to internal models, 2024|Paragraph 140|Other|General topics > 8 Third-party involvement > 8.3 Third-party involvement in internal functions and tasks > 8.3.3 Model development and maintenance|140. When institutions delegate the development and/or maintenance of internal models, this should be done in accordance with all existing regulatory requirements and the institutions' internal guidelines and policies, also taking this guide into account. If an institution plans to delegate such tasks to a third party that would perform them outside the EU, it is encouraged to discuss this with the competent authority in advance.|107
2039|ECB Guide to internal models, 2024|Paragraph 141|Other|General topics > 8 Third-party involvement > 8.3 Third-party involvement in internal functions and tasks > 8.3.3 Model development and maintenance|"141. As the ultimate model owners and users, institutions should do the following: 
(a) maintain an appropriate level of in-house knowledge (see Section 8.3.5 of this chapter); 
(b) have a robust contingency plan in place to ensure that they are prepared for the risk that could derive from insufficient maintenance of the rating systems."|103
2040|ECB Guide to internal models, 2024|Paragraph 142|Other|General topics > 8 Third-party involvement > 8.3 Third-party involvement in internal functions and tasks > 8.3.4 Use of pool models|142. In accordance with Article 179(2)(d) of the CRR, an institution using pool models must remain responsible for the integrity of its rating systems. In particular, the institution is ultimately responsible for the performance of the internal validation activities as elaborated in Section 4 of this chapter.|94
2041|ECB Guide to internal models, 2024|Paragraph 143|Other|General topics > 8 Third-party involvement > 8.3 Third-party involvement in internal functions and tasks > 8.3.4 Use of pool models|143. To comply with the requirement to ensure integrity of the rating system specified in Article 179(2)(d) of the CRR, if deficiencies are identified in the pooled rating system at institution level, the institution should be able to independently trigger a procedure designed to amend the system, if necessary, at individual or pool level. This applies regardless of the performance of the rating system at the pool level or at the level of the other participating institutions.|124
2042|ECB Guide to internal models, 2024|Paragraph 144|Other|General topics > 8 Third-party involvement > 8.3 Third-party involvement in internal functions and tasks > 8.3.4 Use of pool models|144. Where a third party is involved in the tasks of developing a rating system and risk estimation for an institution, the institution should verify that the validation activities with regard to those rating system and those risk estimates are not performed by that third party. Where, for the purpose of developing a rating system and risk estimation, the institution uses data that is pooled across institutions and a third party is developing the rating system, the third party may assist the institution in its validation activities by performing those tasks of validation which require access to the pooled data.$^{119}$|143
2043|ECB Guide to internal models, 2024|Paragraph 145|Other|General topics > 8 Third-party involvement > 8.3 Third-party involvement in internal functions and tasks > 8.3.5 In-house knowledge|145. To ensure that institutions are able to identify, manage and monitor the risks connected with internal models, they should maintain adequate in-house knowledge and core competence, as they are ultimately responsible for outsourced tasks and functions. Institutions should have access to all relevant information; this will enable them to take direct control of an outsourced activity in extremis. Best practice to ensure that this in-house knowledge is maintained includes ad hoc training at all levels (not only at management level) and proper oversight of the outsourced activities.|136
